account_id,pagerank_raw,pagerank_score,betweenness_centrality,in_degree,out_degree,total_degree,degree_ratio,total_received,total_sent,net_flow,flow_ratio,rank,risk_score,triggered_rules,risk_level,odd_hours_transactions
3615305152204727.0,0.0122234203353311,100.0,0.0,11,0,11,11.0,26377704.4,0.0,26377704.4,26377704.4,1,80,High PageRank Score; Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sangat Tinggi,0
9421047095214562.0,0.0106444749413634,81.75797631385174,0.0,10,0,10,10.0,28867112.94,0.0,28867112.94,28867112.94,3,80,High PageRank Score; Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sangat Tinggi,0
9136193990916998.0,0.0106413330934429,81.72167761447803,0.0,10,0,10,10.0,29809098.47,0.0,29809098.47,29809098.47,4,80,High PageRank Score; Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sangat Tinggi,0
5379473834735977.0,0.0104967737889671,80.05154116367012,0.0,11,0,11,11.0,27594262.73,0.0,27594262.73,27594262.73,5,80,High PageRank Score; Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sangat Tinggi,0
1382675869261796.0,0.0097870741617099,71.85217121716224,0.0,6,0,6,6.0,15556536.96,0.0,15556536.96,15556536.96,7,80,High PageRank Score; Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sangat Tinggi,0
1627204653755646.0,0.0092599930110733,65.76264660714749,0.0,6,0,6,6.0,19533932.17,0.0,19533932.17,19533932.17,8,80,High PageRank Score; Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sangat Tinggi,0
9993867749649908.0,0.0109599817511102,85.40311991320043,0.0,8,0,8,8.0,19173564.19,0.0,19173564.19,19173564.19,2,80,High PageRank Score; Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sangat Tinggi,0
6438156149784036.0,0.0099817115052062,74.10087408163857,0.0,5,0,5,5.0,14513125.63,0.0,14513125.63,14513125.63,6,55,High PageRank Score; High Betweenness Centrality; High Transaction Volume,Tinggi,0
5546659051518644.0,0.0081782766407548,53.26525706826079,0.0,6,0,6,6.0,14797907.18,0.0,14797907.18,14797907.18,18,50,Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sedang,0
84271094777520.0,0.0062814195360333,31.35030524930307,0.0,7,0,7,7.0,14958355.15,0.0,14958355.15,14958355.15,48,50,Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sedang,0
7694531473799650.0,0.0074328020543969,44.652568425755234,0.0,6,0,6,6.0,15049298.48,0.0,15049298.48,15049298.48,26,50,Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sedang,0
3396360576627028.0,0.0078117346894111,49.03048936576553,0.0,6,0,6,6.0,14365452.22,0.0,14365452.22,14365452.22,23,50,Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sedang,0
6413953767242388.0,0.0070961617874034,40.76326373689986,0.0,7,0,7,7.0,18501863.54,0.0,18501863.54,18501863.54,32,50,Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sedang,0
7193745299124190.0,0.0079974775099813,51.17643117307531,0.0,6,0,6,6.0,18465986.61,0.0,18465986.61,18465986.61,20,50,Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sedang,0
1595148465648236.0,0.0080589573410293,51.88672586628079,0.0,11,0,11,11.0,20136498.48,0.0,20136498.48,20136498.48,19,50,Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sedang,0
2870831727889579.0,0.0085764847236912,57.865872965868505,0.0,9,0,9,9.0,26031266.52,0.0,26031266.52,26031266.52,15,50,Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sedang,0
1607337543303654.0,0.0071152947490145,40.98431250795145,0.0,6,0,6,6.0,13985372.73,0.0,13985372.73,13985372.73,30,50,Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sedang,0
5604945198327315.0,0.0086498441524991,58.71341616972361,0.0,6,0,6,6.0,15769793.31,0.0,15769793.31,15769793.31,14,50,Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sedang,0
1605297516136968.0,0.0086774237944219,59.03205193960771,0.0,9,0,9,9.0,22941320.89,0.0,22941320.89,22941320.89,13,50,Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sedang,0
9310341316475256.0,0.0088912892218633,61.50290255162887,0.0,8,0,8,8.0,20857132.17,0.0,20857132.17,20857132.17,12,50,Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sedang,0
