transaction_id,timestamp,sender_id,sender_account,receiver_id,receiver_account,amount,transaction_type,status,notes,receiver_ammount,date,hour,day_of_week,is_odd_hours,amount_category
TXN_000675,2026-02-18 15:39:26.435864,USER_0067,9421047095214562,MULE_0008,,1446315.43,Transfer,success,,6928451154479627,2026-02-18,15,Wednesday,False,Besar
TXN_000105,2026-02-18 16:11:26.435864,USER_0045,6855744431351823,USER_0042,7694531473799650.0,3624853.97,Purchase,success,,,2026-02-18,16,Wednesday,False,Besar
TXN_000530,2026-02-18 16:20:26.435864,USER_0074,2904228421020539,MULE_0002,,1100810.44,Transfer,success,,0369711798089324,2026-02-18,16,Wednesday,False,Besar
TXN_000588,2026-02-18 17:52:26.435864,USER_0051,3447134936183242,MULE_0014,,1987482.82,Transfer,success,Investasi,7058957829114678,2026-02-18,17,Wednesday,False,Besar
TXN_000757,2026-02-18 18:37:26.435864,USER_0033,8727743487347143,MULE_0013,,598987.79,Transfer,success,Kerjasama,5518844225831323,2026-02-18,18,Wednesday,False,Besar
TXN_000695,2026-02-18 18:37:26.435864,USER_0024,1586923226025634,MULE_0009,,1455987.04,Transfer,success,Transfer,5705964016582029,2026-02-18,18,Wednesday,False,Besar
TXN_000776,2026-02-18 18:47:26.435864,USER_0050,3341232812067974,MULE_0015,,1482335.79,Transfer,success,Kerjasama,6691251778528922,2026-02-18,18,Wednesday,False,Besar
TXN_000356,2026-02-18 20:20:26.435864,USER_0013,8347382997376311,USER_0037,1627204653755646.0,3253633.2,Payment,success,Belanja,,2026-02-18,20,Wednesday,False,Besar
TXN_000103,2026-02-18 22:10:26.435864,USER_0012,3150983930103105,USER_0047,84271094777520.0,2307247.81,Transfer,success,,,2026-02-18,22,Wednesday,False,Besar
TXN_000224,2026-02-18 23:12:26.435864,USER_0021,8412411824493534,USER_0011,8248963834657871.0,1764797.3,Purchase,success,Hutang,,2026-02-18,23,Wednesday,True,Besar
TXN_000237,2026-02-19 04:32:26.435864,USER_0050,3341232812067974,USER_0066,9440640909743952.0,2288395.79,Purchase,success,,,2026-02-19,4,Thursday,True,Besar
TXN_000333,2026-02-19 05:55:26.435864,USER_0025,1607337543303654,USER_0060,3396360576627028.0,1086442.72,Transfer,success,Pembayaran,,2026-02-19,5,Thursday,False,Besar
TXN_000382,2026-02-19 08:25:26.435864,USER_0015,2473178108013267,USER_0006,6413953767242388.0,290429.45,Payment,success,Belanja,,2026-02-19,8,Thursday,False,Kecil
TXN_000045,2026-02-19 09:37:26.435864,USER_0021,8412411824493534,USER_0068,2858842474517123.0,831808.33,Purchase,success,Belanja,,2026-02-19,9,Thursday,False,Besar
TXN_000225,2026-02-19 13:02:26.435864,USER_0011,8248963834657871,USER_0095,6850542357332214.0,4252579.64,Purchase,success,Pembayaran,,2026-02-19,13,Thursday,False,Besar
TXN_000254,2026-02-19 14:22:26.435864,USER_0021,8412411824493534,USER_0077,1249985698478961.0,1790826.63,Purchase,success,,,2026-02-19,14,Thursday,False,Besar
TXN_000658,2026-02-19 14:26:26.435864,USER_0041,1850671657262849,MULE_0012,,349984.96,Transfer,success,,1447394731217271,2026-02-19,14,Thursday,False,Kecil
TXN_000697,2026-02-19 14:26:26.435864,USER_0080,5604945198327315,MULE_0009,,1089097.65,Transfer,success,Investasi,5705964016582029,2026-02-19,14,Thursday,False,Besar
TXN_000677,2026-02-19 14:50:26.435864,USER_0078,8367365766156545,MULE_0011,,734205.29,Transfer,success,,1928565431027868,2026-02-19,14,Thursday,False,Besar
TXN_000727,2026-02-19 15:13:26.435864,USER_0013,8347382997376311,MULE_0015,,801523.5,Transfer,success,Transfer,6691251778528922,2026-02-19,15,Thursday,False,Besar
TXN_000662,2026-02-19 16:47:26.435864,USER_0090,2717744905814770,MULE_0013,,1159342.43,Transfer,success,,5518844225831323,2026-02-19,16,Thursday,False,Besar
TXN_000571,2026-02-19 16:49:26.435864,USER_0062,8657809134316117,MULE_0001,,1094081.02,Transfer,success,Transfer,9010432898614341,2026-02-19,16,Thursday,False,Besar
TXN_000017,2026-02-19 16:56:26.435864,USER_0008,6697848018451462,USER_0093,5546659051518644.0,2499726.31,Purchase,success,Hutang,,2026-02-19,16,Thursday,False,Besar
TXN_000755,2026-02-19 17:07:26.435864,USER_0007,9696532871012269,MULE_0004,,1320296.08,Transfer,success,Transfer,8067065405153195,2026-02-19,17,Thursday,False,Besar
TXN_000417,2026-02-19 17:42:26.435864,USER_0017,980500978820812,USER_0066,9440640909743952.0,318626.95,Payment,success,,,2026-02-19,17,Thursday,False,Kecil
TXN_000598,2026-02-19 18:12:26.435864,MULE_0014,7058957829114678,CRIMINAL_BOSS,,3395442.23,Transfer,success,,MASTER_6698490277038430,2026-02-19,18,Thursday,False,Besar
TXN_000559,2026-02-19 18:19:26.435864,USER_0004,9310341316475255,MULE_0006,,1275425.23,Transfer,success,Transfer,3054868740345054,2026-02-19,18,Thursday,False,Besar
TXN_000044,2026-02-19 19:04:26.435864,USER_0056,385977034824771,USER_0039,7193745299124190.0,1684953.44,Payment,success,Pembayaran,,2026-02-19,19,Thursday,False,Besar
TXN_000616,2026-02-19 19:19:26.435864,USER_0026,4586850142940196,MULE_0006,,639625.73,Transfer,success,Investasi,3054868740345054,2026-02-19,19,Thursday,False,Besar
TXN_000639,2026-02-19 19:26:26.435864,USER_0057,9324808613171274,MULE_0005,,411194.11,Transfer,success,,2058527722170430,2026-02-19,19,Thursday,False,Kecil
TXN_000297,2026-02-19 20:55:26.435864,USER_0089,2432921277997995,USER_0021,8412411824493534.0,2044721.09,Purchase,success,Belanja,,2026-02-19,20,Thursday,False,Besar
TXN_000235,2026-02-19 22:31:26.435864,USER_0043,5273545494808313,USER_0053,9065940139904902.0,4290037.69,Transfer,success,Pembayaran,,2026-02-19,22,Thursday,False,Besar
TXN_000013,2026-02-20 01:02:26.435864,USER_0076,9084700766177115,USER_0084,6438156149784036.0,4327611.06,Payment,success,Pembayaran,,2026-02-20,1,Friday,True,Besar
TXN_000220,2026-02-20 03:42:26.435864,USER_0026,4586850142940196,USER_0011,8248963834657871.0,4391106.63,Payment,success,Hutang,,2026-02-20,3,Friday,True,Besar
TXN_000270,2026-02-20 04:06:26.435864,USER_0082,5022961201836675,USER_0031,3791769367632016.0,3676293.25,Transfer,success,Belanja,,2026-02-20,4,Friday,True,Besar
TXN_000298,2026-02-20 04:34:26.435864,USER_0001,1043321819600133,USER_0072,537735158506431.0,4400840.28,Purchase,success,Belanja,,2026-02-20,4,Friday,True,Besar
TXN_000306,2026-02-20 05:41:26.435864,USER_0032,2870831727889579,USER_0075,240268117758917.0,4594253.79,Purchase,success,Hutang,,2026-02-20,5,Friday,False,Besar
TXN_000250,2026-02-20 07:11:26.435864,USER_0070,985931746120047,USER_0067,9421047095214562.0,1819292.82,Purchase,success,Pembayaran,,2026-02-20,7,Friday,False,Besar
TXN_000393,2026-02-20 12:41:26.435864,USER_0048,7116719022941318,USER_0062,8657809134316117.0,1039516.97,Transfer,success,Hutang,,2026-02-20,12,Friday,False,Besar
